terms,frequency
Delegationsanfragen,0.012273524254821741
Pressebilder,0.012273524254821741
Medienstadt Wien,0.012273524254821741
Stadtpolitik,0.012273524254821741
Bereichsnavigation,0.012273524254821741
Presseaussendungen,0.012273524254821741
Vergabeverfahren,0.012273524254821741
Magistrat und Stadtpolitik,0.012273524254821741
Medienservice,0.012273524254821741
Medienstadt,0.012273524254821741
Unterbereich,0.012127410870835768
Aktueller Unterbereich,0.012127410870835768
Kontaktformular,0.012054354178842782
September,0.01146990064289889
Beispiel,0.011396843950905903
Zeichen,0.01125073056691993
Gedenktage,0.010520163646990065
Verwaltung,0.010081823495032146
November,0.009862653419053185
Hand,0.009789596727060198
Lizenz,0.009643483343074225
Zeichen mit der Hand,0.00957042665108124
KB,0.009497369959088252
Staatsdruckerei,0.009497369959088252
Druckversion,0.009424313267095266
Mai,0.009278199883109293
Republik,0.009205143191116306
Thema,0.009059029807130333
Gewalt,0.008985973115137347
Juli,0.008839859731151374
Konskriptionsnummern,0.008839859731151374
Export,0.008693746347165401
Pflege,0.008693746347165401
Sport,0.008693746347165401
Politik,0.008547632963179428
Akademie,0.00847457627118644
Bewilligung,0.008328462887200468
Zahlung,0.008109292811221507
Verlag,0.007963179427235534
Entsorgung,0.007817066043249561
Sohn,0.0077440093512565755
Finanzielles,0.007597895967270602
Ausweis,0.007524839275277615
Magistratsabteilung,0.007451782583284629
Gemeinderat,0.007378725891291642
Aktuelle Version,0.007378725891291642
BGBl,0.007305669199298656
Einlagezahl,0.007305669199298656
Anzahl,0.007305669199298656
Dr,0.0071595558153126826
Registrieren,0.007086499123319696
Telefon,0.0070134424313267095
Bauwerks,0.0070134424313267095
Meinung,0.0070134424313267095
August,0.006940385739333723
Ende,0.0068673290473407365
Fassung,0.00679427235534775
Genehmigung,0.00679427235534775
Veranstaltung,0.0067212156633547635
Kosten und Zahlung,0.006648158971361777
AGVO,0.0065751022793687905
Umfrage,0.0065751022793687905
Forschung,0.006502045587375804
Fax,0.006428988895382817
Freitag,0.006355932203389831
Montag,0.006355932203389831
Karte,0.0062828755113968435
Versionsunterschied,0.0062828755113968435
Datenschutzrechtliche Information,0.0062828755113968435
Landesregierung,0.0062828755113968435
Kategorie,0.006209818819403857
